"gene_id","external_gene_name","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","significant","significant_fdr20","large_effect","weighted_score"
"ENSRNOG00000039297","Mrpl52",14.5906632733558,0.0527189923313831,0.108388749548035,0.486388048125045,0.626692062908649,0.999995822429765,FALSE,FALSE,FALSE,0.0263604033154368
"ENSRNOG00000007433","Cyb561",33.2374213568904,0.0354099096650559,0.0728237522155432,0.486241213721725,0.626796153660262,0.999995822429765,FALSE,FALSE,FALSE,0.0177058619822732
"ENSRNOG00000000636","Rtkn2",1.61433096173933,0.160073113394216,0.329225200889237,0.486211605192612,0.626817144015383,0.999995822429765,FALSE,FALSE,FALSE,0.0800374638468533
"ENSRNOG00000007104","Itpr1",452.538531370114,-0.0436957836716035,0.0898774919790273,-0.486170482836791,0.626846297361405,0.999995822429765,FALSE,FALSE,FALSE,0.021848798985547
"ENSRNOG00000021158","Nudt22",7.44264170035108,0.0738225978954908,0.151899241126136,0.485997147505095,0.626969188383149,0.999995822429765,FALSE,FALSE,FALSE,0.0369122060974907
"ENSRNOG00000001142","Prkab1",7.44323395214829,0.073611063000671,0.151485269850032,0.485928850201376,0.627017612545819,0.999995822429765,FALSE,FALSE,FALSE,0.0368064386500808
"ENSRNOG00000016643","Lpcat2",4.74415740814582,0.0924198456707181,0.190267480005037,0.485736425732192,0.627154054008658,0.999995822429765,FALSE,FALSE,FALSE,0.0462108299851043
"ENSRNOG00000006939",NA,35.5712243495614,0.0338700971143136,0.0697355867317498,0.485693154695907,0.627184737744031,0.999995822429765,FALSE,FALSE,FALSE,0.0169359557069021
"ENSRNOG00000047611","Top1",32.1199656866775,-0.0353919897180973,0.0728738876148278,-0.485660788472825,0.627207689236564,0.999995822429765,FALSE,FALSE,FALSE,0.0176969020087939
"ENSRNOG00000042560","Bag4",19.864132982806,-0.044644259382228,0.0919415448861292,-0.48557221262184,0.627270501869366,0.999995822429765,FALSE,FALSE,FALSE,0.0223230368408593
"ENSRNOG00000020144","Rusf1",31.7836796866693,0.0356464089126915,0.0734140829091618,0.485552737296988,0.627284312953404,0.999995822429765,FALSE,FALSE,FALSE,0.017824111606091
"ENSRNOG00000007564","Evc",5.47947822745536,-0.0847167017992813,0.174492878757562,-0.485502344866379,0.627320049759049,0.999995822429765,FALSE,FALSE,FALSE,0.0423592580493859
"ENSRNOG00000013610","Chrna5",1.58010865043499,-0.15629524206121,0.321961364119609,-0.485447197953684,0.62735915930325,0.999995822429765,FALSE,FALSE,FALSE,0.0781485281803501
"ENSRNOG00000012410","S100a1",4.7476818680765,0.0925582542596712,0.190668870369794,0.485439778817374,0.627364420947681,0.999995822429765,FALSE,FALSE,FALSE,0.0462800342795809
"ENSRNOG00000015986","Rassf8",19.2960558136334,-0.0479573352514769,0.0988024920589767,-0.485385887056881,0.627402641501834,0.999995822429765,FALSE,FALSE,FALSE,0.0239795747754837
"ENSRNOG00000018337","Caly",197.338554476679,0.0242221901021229,0.0499047412318001,0.48536851417813,0.627414962727408,0.999995822429765,FALSE,FALSE,FALSE,0.0121120022008067
"ENSRNOG00000039152","Frem3",6.40752379569277,-0.0810629229967727,0.167024784661009,-0.485334695454311,0.627438948003969,0.999995822429765,FALSE,FALSE,FALSE,0.0405323686481316
"ENSRNOG00000018369","Prx",1.14926180570174,-0.182491591099976,0.376075098797954,-0.485253056326443,0.627496850600541,0.999995822429765,FALSE,FALSE,FALSE,0.0912467026997332
"ENSRNOG00000056458","Cep290",10.1313883725734,-0.062735338457649,0.129315699909387,-0.485133193429788,0.62758186758251,0.999995822429765,FALSE,FALSE,FALSE,0.0313685763785698
"ENSRNOG00000028534","Zfp518b",7.28952793524656,-0.0731226508285392,0.150730166217691,-0.485122869982989,0.627589190082075,0.999995822429765,FALSE,FALSE,FALSE,0.0365622325640149
"ENSRNOG00000013770","Folh1",12.3950911714097,-0.056920750708012,0.117335288231694,-0.485111951961244,0.627596934358085,0.999995822429765,FALSE,FALSE,FALSE,0.0284612825037513
"ENSRNOG00000061862","Zbtb10",1.14877792427287,-0.182554429376543,0.37646002481765,-0.484923809546496,0.627730392338548,0.999995822429765,FALSE,FALSE,FALSE,0.0912781218380168
"ENSRNOG00000002061","Ptpn13",11.6212197716942,-0.0581684863107767,0.120007305210913,-0.48470787847911,0.627883577082355,0.999995822429765,FALSE,FALSE,FALSE,0.0290851503051336
"ENSRNOG00000043114","Tomm7",31.9879939565756,0.0354440440989907,0.0731387288319218,0.484613892872595,0.627950256892351,0.999995822429765,FALSE,FALSE,FALSE,0.0177229291992406
"ENSRNOG00000003846","Pitpna",140.247869337935,0.0170857293867191,0.035266732640489,0.484471571576871,0.628051235123926,0.999995822429765,FALSE,FALSE,FALSE,0.0085437718431048
"ENSRNOG00000011135","Gtf2b",12.0003133084865,0.0577318780576861,0.11917853082556,0.484415084308999,0.628091315275703,0.999995822429765,FALSE,FALSE,FALSE,0.0288668461785883
"ENSRNOG00000009225","Copz2",1.61539070605627,0.159624779361708,0.32970600306213,0.484142775318618,0.628284545629396,0.999995822429765,FALSE,FALSE,FALSE,0.0798132968305994
"ENSRNOG00000005375","RGD1564053",15.8816717513063,-0.0540007687867141,0.111541274235061,-0.484132615097382,0.628291755811517,0.999995822429765,FALSE,FALSE,FALSE,0.0270012915431023
"ENSRNOG00000021061","Map4k2",29.7729145782747,0.0367706537338938,0.0759544856126039,0.484114314478249,0.628304742901353,0.999995822429765,FALSE,FALSE,FALSE,0.0183862340166922
"ENSRNOG00000003634","Zfp354a",3.95983420548206,-0.0989481562890093,0.204394583901801,-0.484103611750045,0.628312338178185,0.999995822429765,FALSE,FALSE,FALSE,0.0494749852942499
"ENSRNOG00000019365","Ablim3",16.7693077365398,-0.0528705828084913,0.109218520149683,-0.484080746891943,0.628328564539793,0.999995822429765,FALSE,FALSE,FALSE,0.0264361985539909
"ENSRNOG00000030888","Rela",14.6875457878191,0.0522184190812545,0.107873176532904,0.484072322328681,0.628334543192473,0.999995822429765,FALSE,FALSE,FALSE,0.0261101166903725
"ENSRNOG00000018268","Hhip",4.39389443080941,0.0991823227814745,0.204966545408694,0.483895177057843,0.628460263372829,0.999995822429765,FALSE,FALSE,FALSE,0.0495920685404825
"ENSRNOG00000018109","Clic4",15.5694086375348,-0.0503180222889289,0.103990645145453,-0.483870661813362,0.628477662715975,0.999995822429765,FALSE,FALSE,FALSE,0.0251599182942097
"ENSRNOG00000022540","Trex1",9.62491854187266,0.064543396969716,0.133407731505537,0.483805520424707,0.628523896885075,0.999995822429765,FALSE,FALSE,FALSE,0.0322726056346033
"ENSRNOG00000003149","Farsa",19.4328197232795,0.0452874570047682,0.0936128566357546,0.483773902776844,0.628546338069165,0.999995822429765,FALSE,FALSE,FALSE,0.0226446356521294
"ENSRNOG00000058470","Col12a1",6.26087800623754,-0.079347801910458,0.164029744332509,-0.483740325471762,0.628570170530412,0.999995822429765,FALSE,FALSE,FALSE,0.0396748081049743
"ENSRNOG00000024632","Atf6",53.6445225114022,-0.0270991955562078,0.0560244926903327,-0.483702649589256,0.628596912536129,0.999995822429765,FALSE,FALSE,FALSE,0.0135505049278492
"ENSRNOG00000053285","Mllt6",48.9983709851371,-0.028729239259424,0.0594141513623974,-0.483542028298773,0.628710925564325,0.999995822429765,FALSE,FALSE,FALSE,0.0143655267794572
"ENSRNOG00000045860","U2af1",24.726714278217,0.0401095893499781,0.0829506845869206,0.483535362603896,0.628715657233438,0.999995822429765,FALSE,FALSE,FALSE,0.0200557018247343
"ENSRNOG00000032703","Rasgrp3",12.3504678261459,-0.0566530960905977,0.117214883193187,-0.483326814370706,0.628863703699747,0.999995822429765,FALSE,FALSE,FALSE,0.0283274551950441
"ENSRNOG00000003494","Ppfia4",99.3370613033907,0.0207589545888725,0.0429507183798963,0.483320311554767,0.628868320228722,0.999995822429765,FALSE,FALSE,FALSE,0.0103803844441815
"ENSRNOG00000014785","Ykt6",40.9892000257645,0.0311662479411414,0.0644853949694076,0.483307079935339,0.628877713766284,0.999995822429765,FALSE,FALSE,FALSE,0.015584031120316
"ENSRNOG00000047394","Ufd1",53.5515544567369,0.0273460039320242,0.0565812897583654,0.483304711660115,0.628879395084755,0.999995822429765,FALSE,FALSE,FALSE,0.0136739091157574
"ENSRNOG00000009354","Nrarp",9.26028761801111,-0.0655341527875903,0.135607695472334,-0.48326278652055,0.628909159474169,0.999995822429765,FALSE,FALSE,FALSE,0.0327679835435404
"ENSRNOG00000059500","Cdkn1c",2.49888935998228,0.130339499171898,0.269815374287252,0.483069208032361,0.629046596663743,0.999995822429765,FALSE,FALSE,FALSE,0.0651706567356942
"ENSRNOG00000013728","Polg2",1.19881419441106,0.184920019300966,0.382825658109057,0.483039773808179,0.629067495550908,0.999995822429765,FALSE,FALSE,FALSE,0.0924609168002285
"ENSRNOG00000061005",NA,1.19850629494855,0.184906752925001,0.382832497014357,0.482996491591117,0.62909822732937,0.999995822429765,FALSE,FALSE,FALSE,0.0924542836122459
"ENSRNOG00000006717","Ankrd26",11.768491993449,-0.0575884841383405,0.119245518313142,-0.48294044885705,0.629138020443428,0.999995822429765,FALSE,FALSE,FALSE,0.0287951492189155
"ENSRNOG00000061899",NA,3.27891388343517,-0.108178015040266,0.224091333106484,-0.482740735844799,0.629279835320512,0.999995822429765,FALSE,FALSE,FALSE,0.0540899146698784
"ENSRNOG00000024082","Gldn",3.87749945057213,0.103114385395618,0.213689026310855,0.482544130486218,0.62941945682898,0.999995822429765,FALSE,FALSE,FALSE,0.0515580998475542
"ENSRNOG00000004171","Dnah9",11.754971066109,0.0590029769466647,0.122287938236779,0.482492204851969,0.629456334614104,0.999995822429765,FALSE,FALSE,FALSE,0.0295023956230776
"ENSRNOG00000007462","Septin8",253.943675438156,0.014029487934158,0.0290789321622297,0.482462280797942,0.629477587212001,0.999995822429765,FALSE,FALSE,FALSE,0.00701565111682425
"ENSRNOG00000007587","Tcp11l2",21.8365680441909,-0.0422343112647191,0.0875671604502678,-0.4823076487527,0.629587414542808,0.999995822429765,FALSE,FALSE,FALSE,0.0211180627821048
"ENSRNOG00000001971","Bbx",6.45761303333094,-0.0771922256580189,0.160051257843273,-0.482296900994103,0.629595048437315,0.999995822429765,FALSE,FALSE,FALSE,0.0385970199787547
"ENSRNOG00000019674","Mfsd13a",20.9995560298787,0.0435564926415909,0.0903155981486818,0.482269879560407,0.629614241337042,0.999995822429765,FALSE,FALSE,FALSE,0.0217791534705407
"ENSRNOG00000003300","Btg2",17.4634314675765,-0.0509946370626032,0.105741964400756,-0.482255435215259,0.629624501031001,0.999995822429765,FALSE,FALSE,FALSE,0.0254982256810469
"ENSRNOG00000054775","Arf3",75.4067682318169,0.0233336266308998,0.0483852969729066,0.482246221284236,0.629631045644187,0.999995822429765,FALSE,FALSE,FALSE,0.0116677204651952
"ENSRNOG00000007286","Mdm1",8.55644607923339,0.0682018832887308,0.141436870717335,0.482207241597095,0.629658733059939,0.999995822429765,FALSE,FALSE,FALSE,0.0341018487941107
"ENSRNOG00000001632","Brwd1",20.3539962086092,-0.0437157406178378,0.0907158713981474,-0.481897378530066,0.629878848450213,0.999995822429765,FALSE,FALSE,FALSE,0.0218587774586642
"ENSRNOG00000005854","Angpt1",3.27916123702747,-0.108171557944792,0.224476913247242,-0.481882775293023,0.629889222866921,0.999995822429765,FALSE,FALSE,FALSE,0.0540866861221414
"ENSRNOG00000002452","Txndc11",17.8121511822937,0.0470717452597653,0.0977031414288308,0.481783334408479,0.629959869499396,0.999995822429765,FALSE,FALSE,FALSE,0.0235367797796279
"ENSRNOG00000014436","Ppip5k1",85.6802491935058,0.0214793549349939,0.0445912703070881,0.481694169891804,0.630023218282643,0.999995822429765,FALSE,FALSE,FALSE,0.0107405846172422
